Btop,Bjungle,Bmid,Bbot,Bsupport,Rtop,Rjungle,Rmid,Rbot,Rsupport,Bwin
68,57,2,8,3,45,79,141,46,101,0
32,36,97,27,3,103,79,2,100,77,0
140,51,20,8,74,70,61,129,101,62,0
29,57,2,15,147,65,63,40,46,50,0
103,37,66,27,85,16,63,23,72,11,0
44,79,120,7,77,112,61,129,72,11,0
134,36,112,98,62,68,63,30,15,74,0
68,61,123,8,3,112,36,140,46,14,0
32,37,50,100,75,133,36,112,8,66,0
29,61,17,72,119,68,79,58,46,77,0
45,61,112,72,119,103,56,17,46,42,0
150,92,31,27,143,32,25,2,23,119,0
133,92,27,65,85,93,36,96,46,11,1
73,36,40,48,87,106,63,88,72,11,0
140,51,20,8,74,70,61,129,101,62,0
112,36,2,128,62,18,63,65,48,77,0
93,36,31,47,66,2,79,65,46,85,0
84,36,60,46,3,2,79,65,7,62,0
134,25,148,98,77,150,92,40,8,90,0
98,82,112,27,6,45,61,146,65,70,0
136,71,65,27,11,16,92,52,23,42,1
136,115,148,8,119,66,61,52,46,85,0
103,26,65,124,90,84,36,83,8,11,0
40,26,150,51,119,44,36,113,8,90,0
27,63,17,65,62,112,7,141,24,14,1
65,99,112,146,85,2,61,113,27,101,1
136,79,40,48,77,86,56,83,124,90,0
103,144,40,15,11,112,37,17,48,85,1
103,36,83,46,143,65,61,17,27,11,0
37,79,88,27,67,44,92,60,8,50,0
32,79,2,107,85,84,26,65,8,50,0
2,36,145,17,119,118,61,133,72,31,1
16,79,112,8,85,95,36,83,100,119,1
68,61,2,124,90,45,36,1,15,11,0
16,79,96,98,11,134,36,113,15,42,1
50,79,116,48,149,66,71,53,98,117,1
136,63,19,27,85,68,37,65,51,114,0
45,26,141,27,11,29,63,16,48,77,0
29,36,132,15,77,16,25,112,46,50,0
93,37,53,15,90,44,79,141,100,101,0
126,61,148,100,85,32,37,60,15,90,0
16,57,60,8,62,84,94,83,100,85,1
16,37,83,124,90,93,26,133,8,11,0
40,26,2,7,62,134,112,65,100,114,0
134,24,60,15,119,32,54,2,36,100,0
32,57,145,27,11,88,51,34,48,77,0
29,36,2,51,100,84,56,31,124,143,0
94,61,123,120,117,93,36,2,100,101,0
126,61,123,27,50,0,36,112,46,77,0
16,79,10,98,90,32,56,31,128,11,0
103,51,52,27,101,44,24,93,128,144,1
89,26,133,40,70,2,37,65,38,103,1
126,61,148,100,85,32,37,60,15,90,0
96,37,112,124,90,32,56,24,140,101,1
114,56,129,15,74,103,26,140,46,50,1
35,36,2,23,42,33,57,80,51,66,0
94,63,81,15,11,16,37,31,120,90,0
44,36,112,100,3,32,37,83,27,85,1
65,139,148,27,62,45,36,81,46,114,0
93,79,40,8,77,32,139,83,124,90,1
70,37,145,48,77,136,51,133,27,11,0
103,26,113,48,12,32,51,112,46,119,0
16,79,19,100,90,44,57,31,46,77,0
16,57,60,7,119,95,36,31,51,42,0
40,63,45,8,102,16,81,116,100,119,0
103,57,97,46,87,93,63,141,7,119,1
65,61,96,8,119,101,36,148,46,62,0
45,57,2,46,3,66,82,31,48,87,0
93,24,86,27,11,45,36,112,7,103,0
54,61,148,8,35,65,79,144,27,66,1
134,112,65,7,109,93,51,53,100,12,1
68,37,115,46,119,44,26,141,7,114,1
134,61,2,98,90,82,57,130,49,119,0
40,63,51,65,143,68,36,130,48,90,1
134,79,112,100,11,93,63,141,27,119,0
45,63,31,46,119,86,36,112,8,101,1
45,36,66,15,74,44,25,31,46,100,0
16,36,84,15,67,134,63,65,27,11,0
93,36,51,100,3,103,63,141,8,50,0
44,82,112,46,50,16,57,31,72,119,0
96,36,83,7,14,0,61,65,115,119,1
93,57,83,15,74,134,36,123,46,11,1
45,63,16,8,11,84,79,88,46,101,0
120,61,140,112,35,45,36,1,46,85,0
126,61,64,7,62,16,134,2,8,119,1
66,37,31,8,11,112,63,65,124,90,0
134,36,46,1,119,93,63,112,27,11,0
103,79,65,46,114,16,36,123,100,101,0
141,92,66,8,119,40,37,112,48,85,1
93,99,83,27,14,16,82,112,140,35,0
45,63,16,46,77,44,36,112,27,50,1
45,36,83,49,101,136,63,52,140,3,1
93,61,112,46,67,126,79,141,100,62,0
134,37,2,100,101,32,63,141,120,117,0
84,63,87,124,90,65,61,112,8,11,0
68,41,80,124,42,16,61,2,137,90,0
134,37,2,100,101,32,63,141,120,117,0
93,36,113,98,77,134,63,1,100,114,0
101,61,148,48,66,33,79,123,7,75,0
84,115,40,100,85,0,79,148,72,103,1
45,61,60,27,85,126,54,123,8,62,1
16,36,52,27,117,126,79,31,128,101,0
93,63,101,27,85,65,28,16,46,35,0
16,36,52,100,11,134,79,32,8,119,0
16,57,83,27,101,45,36,53,65,85,0
84,36,2,46,101,112,79,141,8,62,0
93,36,2,15,11,103,79,83,27,143,0
133,36,52,7,3,32,24,83,27,35,1
44,25,123,100,114,16,115,65,7,85,0
16,24,112,8,11,40,61,101,124,117,0
126,92,66,124,90,17,36,53,100,101,1
70,37,112,100,114,103,51,97,8,85,0
16,36,31,98,11,44,61,148,100,3,0
113,36,70,72,103,17,61,112,46,42,0
136,79,16,27,101,66,88,115,141,85,0
29,112,65,100,3,16,79,113,8,85,1
2,36,148,100,3,16,57,112,8,62,0
45,63,112,72,11,136,36,123,8,12,1
144,63,140,46,62,16,61,112,27,85,1
126,92,60,46,11,45,139,112,70,100,1
16,63,113,8,85,103,36,24,7,62,0
2,63,141,8,14,86,112,65,100,101,0
97,36,112,46,103,27,57,133,148,62,0
136,63,123,46,35,16,139,2,15,11,0
86,79,101,124,90,16,36,123,49,77,0
93,82,112,27,77,94,81,83,8,119,0
103,63,113,46,87,65,36,148,27,110,0
134,24,65,98,101,40,25,93,27,11,0
93,51,2,8,77,45,61,112,15,67,0
16,63,145,46,101,45,79,136,27,14,0
126,134,31,124,117,65,37,112,8,90,1
93,25,140,15,119,134,139,148,8,62,0
40,79,144,7,3,2,51,65,100,101,0
134,36,148,46,11,93,79,52,100,114,0
55,61,112,7,114,16,36,148,46,62,0
84,36,132,7,11,103,63,148,8,101,0
66,57,148,8,11,40,101,31,27,50,0
96,134,112,98,62,16,24,31,100,3,0
44,36,123,27,11,32,92,112,124,77,0
112,37,141,8,85,29,79,83,46,62,0
66,36,148,27,85,93,61,123,100,114,0
89,61,123,72,77,93,63,101,27,74,0
16,79,30,120,3,66,61,65,98,62,1
126,57,17,100,103,46,25,81,65,85,1
44,36,123,27,11,16,134,31,107,3,1
134,51,141,8,50,93,63,38,15,119,0
37,36,78,8,117,93,57,31,46,90,0
86,79,101,124,90,16,36,123,49,77,0
40,79,144,7,3,2,51,65,100,101,0
16,57,83,27,101,45,36,53,65,85,0
66,61,44,124,90,16,63,112,27,3,0
2,115,101,27,90,70,79,132,8,85,0
45,79,2,100,114,40,61,148,98,62,0
93,25,31,8,119,84,61,2,100,85,1
103,79,101,120,85,45,51,65,140,86,0
45,36,31,46,3,16,81,148,8,119,0
70,25,52,23,67,29,82,128,46,101,1
93,36,148,115,62,126,57,17,46,85,0
37,36,78,8,117,93,57,31,46,90,0
45,134,52,27,87,93,51,2,49,85,0
141,139,123,8,77,16,36,112,15,119,0
66,61,112,72,119,16,57,83,48,77,0
44,79,65,27,77,45,36,123,100,50,0
93,112,116,27,77,16,37,64,48,85,0
45,79,44,100,62,16,36,66,46,87,0
55,36,141,46,85,45,63,52,8,87,0
54,37,83,46,85,84,94,112,27,101,0
0,24,112,100,101,45,63,123,46,85,1
55,36,141,46,85,45,63,52,8,87,1
45,63,93,8,114,84,26,101,46,62,0
70,36,2,98,62,16,61,83,115,85,1
126,63,83,100,114,45,37,141,8,85,1
44,56,113,98,77,103,36,123,140,3,1
141,139,123,8,77,16,36,112,15,119,0
134,112,65,49,16,93,99,40,100,66,0
134,79,112,100,11,93,63,141,27,119,0
84,56,83,8,85,45,57,31,46,62,0
86,79,40,8,87,16,36,148,27,101,0
141,139,123,8,77,16,36,112,15,119,0
16,36,112,46,77,141,63,65,72,62,0
70,36,31,8,42,0,61,66,46,11,0
37,51,40,46,62,134,36,2,27,3,0
81,88,93,120,90,38,79,16,100,62,0
65,36,112,27,50,68,57,123,8,42,1
73,79,45,27,11,70,63,85,8,119,1
2,36,52,124,90,16,61,112,46,85,0
45,36,31,100,67,70,61,83,140,66,0
126,36,112,15,74,44,79,93,46,3,1
44,61,83,100,85,65,36,2,46,119,0
101,79,31,8,3,65,63,116,46,62,0
66,79,40,48,77,93,139,112,100,101,0
84,36,31,8,66,16,57,148,46,85,0
16,36,113,49,119,29,139,24,27,87,1
84,57,31,133,143,0,139,83,27,101,0
134,25,140,27,14,16,36,31,46,62,0
103,61,83,48,101,29,51,123,8,11,0
16,51,88,48,77,29,54,10,23,101,0
40,28,105,128,66,16,63,112,27,11,0
44,61,31,98,3,16,36,2,100,114,0
82,37,83,72,66,2,36,113,46,101,0
45,92,2,8,119,144,61,31,98,66,0
93,24,65,100,42,34,63,40,8,101,0
2,36,45,140,11,105,79,40,27,90,1
134,139,148,48,85,96,36,83,27,14,1
16,54,66,8,11,112,41,80,100,106,0
84,24,65,46,77,93,79,17,120,117,1
66,37,31,8,11,112,63,65,124,90,0
29,51,141,100,62,16,26,83,8,50,0
32,51,2,27,87,66,37,1,72,90,0
45,36,83,8,119,65,63,136,15,11,1
68,41,80,124,42,16,61,2,137,90,0
29,79,123,8,3,16,37,148,46,87,0
66,37,31,8,11,112,63,65,124,90,0
112,61,148,7,85,55,36,83,127,14,0
65,63,105,27,3,16,61,112,46,11,0
16,79,88,46,77,2,61,112,48,101,0
40,57,31,46,11,16,36,112,100,87,0
16,94,10,8,42,114,36,112,46,85,0
55,37,113,98,101,16,57,112,27,62,1
2,36,66,100,62,16,25,88,46,3,0
2,36,130,46,101,93,115,83,65,3,0
93,79,31,7,101,126,63,30,124,90,0
68,61,113,49,119,65,79,45,8,3,1
45,26,141,27,11,29,63,16,48,77,0
93,79,83,27,3,55,36,112,100,101,0
93,28,112,46,50,66,51,116,27,62,0
44,25,40,8,119,32,63,65,27,11,0
141,92,66,8,119,40,37,112,48,85,1
55,37,112,100,119,2,134,148,8,101,0
103,63,113,46,87,65,36,148,27,110,0
134,37,2,100,101,32,63,141,120,117,0
45,36,123,98,101,16,61,31,46,62,0
66,36,83,140,87,65,61,2,100,14,0
45,36,31,7,11,84,61,148,100,87,0
103,36,148,115,62,65,63,66,49,3,1
65,139,83,46,3,84,36,113,124,90,0
16,35,45,140,117,103,61,60,48,3,1
103,24,143,27,87,45,134,123,48,3,0
126,92,31,7,119,136,61,112,27,11,1
112,36,145,8,12,44,139,24,47,119,1
112,57,31,8,90,101,36,66,46,85,1
2,63,141,8,14,86,112,65,100,101,0
112,24,16,48,119,2,61,123,27,3,0
103,79,65,46,114,16,36,123,100,101,0
84,61,148,100,114,93,92,31,49,117,0
55,134,52,46,85,101,37,60,15,11,0
86,94,65,146,101,20,79,141,8,119,0
101,57,31,8,62,16,115,148,100,77,0
16,139,2,27,11,44,79,148,46,119,0
66,61,93,46,62,32,63,2,8,3,0
16,79,50,46,101,45,36,60,8,119,0
2,63,65,27,101,84,94,112,46,119,0
45,57,2,46,3,66,82,31,48,87,0
29,79,101,46,119,134,35,140,8,85,1
16,61,83,111,3,93,37,112,65,14,0
122,25,101,73,114,58,79,52,140,35,1
126,79,85,46,77,65,112,16,8,103,1
40,79,112,8,14,97,125,116,7,85,1
84,57,31,133,143,0,139,83,27,101,0
16,61,2,7,114,29,79,123,100,103,0
16,36,17,49,85,55,139,112,72,114,0
55,61,123,8,3,2,37,112,100,114,0
112,61,65,48,119,101,36,17,72,62,0
16,24,112,100,3,44,28,65,46,85,0
2,36,112,8,85,66,61,123,100,101,0
45,79,52,46,11,16,134,31,8,119,0
45,24,65,100,119,96,36,44,8,50,1
40,79,112,8,14,97,125,116,7,85,0
136,51,112,27,103,0,57,148,120,85,0
112,57,31,8,90,101,36,66,46,85,0
16,36,1,8,101,29,63,97,27,114,0
68,36,52,49,119,136,79,31,8,14,0
44,82,112,46,50,16,57,31,72,119,0
2,61,141,27,62,65,139,148,8,119,1
93,63,101,48,87,134,36,2,27,3,1
16,57,113,7,66,126,37,112,124,90,0
93,61,113,46,85,16,92,17,27,62,0
112,57,31,46,62,0,36,144,8,101,1
16,57,83,27,101,45,36,53,65,85,0
85,36,31,115,101,2,139,123,27,62,0
44,51,123,46,3,16,61,2,48,87,0
0,61,148,46,101,70,36,113,8,14,0
45,28,148,7,66,65,24,112,8,101,0
84,134,112,46,85,94,37,81,8,119,0
2,36,112,8,85,66,61,123,100,101,0
84,36,2,46,101,112,79,141,8,62,0
84,37,2,7,14,0,63,65,8,119,0
66,57,112,137,119,40,41,80,48,62,0
101,36,2,72,90,112,61,65,124,117,0
65,61,148,46,119,122,36,123,8,87,0
134,63,140,46,85,84,139,83,8,101,0
134,79,24,8,62,16,36,123,46,101,0
16,63,40,48,85,44,24,65,8,62,0
44,61,112,7,42,93,79,65,100,90,0
44,24,101,46,147,103,35,116,140,117,1
29,36,112,46,62,126,61,148,65,119,0
45,56,83,8,66,93,79,101,15,42,1
44,61,83,100,85,65,36,2,46,119,0
32,63,83,7,85,97,61,112,100,101,1
45,36,148,27,77,32,26,65,8,11,0
45,61,112,8,101,16,36,27,123,50,0
112,36,24,46,11,66,61,113,107,77,0
40,51,93,8,114,32,134,83,48,85,0
44,36,83,100,62,66,57,113,7,101,0
93,63,101,27,85,65,28,16,46,35,0
84,36,2,46,101,112,79,141,8,62,1
84,36,132,7,11,103,63,148,8,101,0
144,28,65,46,11,20,63,141,17,85,0
44,79,112,8,62,16,37,83,7,119,0
112,36,60,128,3,44,61,52,8,99,0
2,61,113,49,85,93,79,123,46,119,0
134,63,65,46,11,2,36,148,100,77,0
16,51,30,27,77,93,28,88,124,66,0
112,36,123,98,77,66,134,148,48,101,0
53,61,140,148,101,93,36,123,48,85,0
65,24,112,46,62,141,79,66,27,35,1
16,63,123,98,77,126,37,2,100,117,0
131,79,145,46,42,16,61,2,27,85,0
16,28,123,27,50,29,57,66,46,110,0
84,56,83,8,85,45,57,31,46,62,0
93,36,31,48,62,70,61,148,46,3,0
29,63,65,46,101,16,57,17,8,62,0
16,63,112,48,85,134,41,80,27,101,0
70,36,112,65,85,134,63,45,46,101,0
2,36,112,8,85,66,61,123,100,101,0
93,36,112,46,62,16,79,44,100,85,0
29,28,19,100,114,93,36,31,7,101,0
44,61,83,100,85,65,36,2,46,119,0
16,28,31,27,62,66,37,52,46,85,1
40,63,65,46,119,66,61,112,8,101,0
2,63,45,100,101,16,36,31,46,62,0
134,79,112,100,11,93,63,141,27,119,0
44,79,16,8,77,103,51,116,140,35,0
16,36,53,46,3,103,61,112,72,101,0
2,36,31,8,50,66,57,113,100,85,0
126,61,83,49,85,84,63,116,46,42,1
2,61,141,48,77,18,79,123,7,119,1
93,37,123,65,101,89,63,88,46,35,0
84,57,31,133,143,0,139,83,27,101,1
55,61,83,46,85,16,92,112,100,114,0
45,37,148,27,3,65,63,16,48,85,0
16,61,83,111,3,93,37,112,65,14,0
65,51,93,48,85,55,79,88,8,35,0
84,36,2,46,101,112,79,141,8,62,0
112,57,31,46,62,0,36,144,8,101,0
84,57,31,133,143,0,139,83,27,101,0
45,25,101,100,85,105,61,21,8,3,0
65,36,145,146,119,73,63,101,100,87,1
134,63,140,46,85,84,139,83,8,101,0
16,57,148,48,12,37,61,53,27,11,0
150,36,2,72,62,84,61,123,7,119,0
17,36,113,65,101,140,28,144,98,35,0
112,79,126,46,101,136,37,105,72,77,1
40,24,45,50,110,68,51,116,8,85,1
55,63,65,46,11,134,139,112,27,119,1
68,41,80,124,42,16,61,2,137,90,1
44,139,113,7,50,16,61,24,27,85,0
112,134,148,46,42,16,37,31,65,3,0
16,112,116,27,74,94,81,83,48,62,0
101,61,2,46,3,16,79,141,8,114,0
17,36,123,120,101,55,79,65,27,143,0
44,25,65,7,74,16,79,29,8,11,0
112,57,31,46,62,0,36,144,8,101,0
133,63,93,100,101,16,134,2,8,62,0
16,51,98,40,119,2,36,123,27,11,1
44,79,40,7,66,70,24,101,8,85,0
144,61,31,100,117,16,28,112,127,14,0
24,79,45,7,62,55,134,65,124,90,0
93,36,113,48,3,65,63,83,27,35,0
126,134,148,57,117,65,61,105,98,77,1
66,61,141,7,77,40,79,2,46,35,0
134,63,140,46,85,84,139,83,8,101,1
55,37,112,100,119,2,134,148,8,101,0
101,92,65,8,14,2,61,51,27,85,0
126,79,85,46,77,65,112,16,8,103,0
45,79,52,46,11,16,134,31,8,119,0
16,24,45,115,42,29,79,141,65,62,0
65,36,2,100,77,141,115,55,49,101,0
101,36,17,134,85,93,115,112,8,114,0
55,37,112,100,119,2,134,148,8,101,1
134,79,112,100,11,93,63,141,27,119,0
16,36,112,46,119,93,26,88,27,101,1
133,51,88,8,85,16,101,2,48,103,0
40,61,2,98,101,112,57,60,100,114,0
16,63,65,27,62,0,61,148,100,11,0
66,139,2,98,77,16,37,83,100,11,0
55,61,20,7,62,112,139,2,27,85,0
133,63,93,100,101,16,134,2,8,62,1
101,57,31,8,62,16,115,148,100,77,1
16,36,148,72,138,134,61,83,27,62,0
44,36,30,46,101,16,61,112,27,85,0
73,61,148,7,3,16,82,31,48,101,0
16,36,112,48,101,44,25,65,100,119,0
93,51,65,8,66,70,36,112,46,81,0
45,79,2,100,114,40,61,148,98,62,0
38,26,88,7,62,136,36,112,72,85,0
93,57,83,15,74,134,36,123,46,11,0
84,24,123,137,119,45,63,83,140,70,1
18,63,141,8,119,112,79,65,27,62,0
84,36,83,46,114,112,63,148,27,101,0
16,36,112,100,3,44,134,2,8,35,0
16,37,83,140,77,101,63,112,65,87,0
2,36,66,15,11,112,61,123,7,101,0
134,79,112,100,11,93,63,141,27,119,1
16,36,83,100,117,44,24,2,27,101,0
16,36,112,46,103,65,79,44,8,87,0
16,24,116,98,119,45,79,2,100,62,0
65,24,16,124,90,101,112,29,15,74,0
136,79,141,48,66,16,36,31,27,87,0
84,36,83,27,11,112,61,1,124,90,0
134,36,60,27,87,55,101,16,48,77,0
82,37,83,72,66,2,36,113,46,101,0
134,36,148,46,11,93,79,52,100,114,0
101,92,112,27,62,103,61,2,100,119,0
70,36,112,65,85,134,63,45,46,101,0
65,36,31,27,14,48,63,101,85,16,0
55,139,83,100,62,84,36,113,8,114,0
16,25,123,46,3,44,79,141,7,42,1
93,57,83,15,74,134,36,123,46,11,1
40,79,112,8,14,97,125,116,7,85,0
16,24,45,115,42,29,79,141,65,62,0
16,61,148,27,42,93,37,123,8,85,0
45,36,52,8,119,93,57,148,27,50,0
96,43,148,100,101,16,63,40,46,85,0
134,36,31,72,62,93,37,83,124,90,0
84,36,2,27,87,123,139,115,65,101,0
65,139,144,8,3,29,51,112,46,85,0
44,92,123,100,85,16,63,97,8,3,0
84,63,45,47,119,134,61,148,140,3,1
16,63,83,46,42,93,36,2,27,75,0
44,79,101,8,114,16,36,31,46,62,0
44,51,2,8,11,16,63,65,27,143,0
44,61,31,98,3,16,36,2,100,114,0
141,61,83,8,87,16,37,31,46,11,0
101,36,2,72,90,112,61,65,124,117,0
70,36,148,72,62,65,54,113,27,11,0
16,63,123,98,77,126,37,2,100,117,0
84,36,113,46,119,134,79,45,124,90,0
16,24,40,8,85,93,134,123,27,14,0
134,79,112,100,11,93,63,141,27,119,0
16,25,141,98,35,2,36,112,140,3,0
134,36,31,72,62,93,37,83,124,90,1
16,36,112,100,3,44,134,2,8,35,0
70,63,88,15,11,112,82,140,8,50,0
93,36,24,46,101,32,61,83,7,42,0
40,24,45,50,110,68,51,116,8,85,0
16,92,53,27,106,141,61,2,48,85,0
93,79,40,8,119,16,61,83,46,101,0
112,36,60,128,3,44,61,52,8,99,0
45,36,52,8,119,93,57,148,27,50,0
16,54,148,46,85,2,36,123,8,101,0
16,36,112,46,42,84,57,148,8,119,0
65,36,31,27,14,48,63,101,85,16,0
18,63,141,8,119,112,79,65,27,62,0
86,54,83,100,101,16,134,65,8,50,0
134,63,140,46,85,84,139,83,8,101,0
55,139,83,100,62,84,36,113,8,114,0
65,37,112,48,62,40,36,123,124,117,1
66,61,141,7,77,40,79,2,46,35,0
16,61,53,48,62,44,24,101,8,90,1
31,57,66,46,85,150,79,88,15,3,1
65,79,24,46,77,136,61,113,27,119,0
16,61,105,8,114,2,36,148,27,11,0
112,82,40,107,143,52,63,103,128,119,0
93,115,112,48,77,40,63,123,7,119,0
141,61,83,8,87,16,37,31,46,11,0
45,79,88,72,90,16,63,83,124,117,0
133,63,93,100,101,16,134,2,8,62,0
66,57,2,15,103,55,36,83,48,101,0
2,61,112,98,119,16,79,140,46,85,1
66,57,148,27,117,16,36,31,100,110,0
32,25,112,46,101,65,24,86,72,77,1
16,61,83,27,90,44,79,148,8,101,0
112,101,148,46,62,84,24,140,8,117,0
0,61,112,124,16,134,36,2,46,11,0
16,36,31,72,62,44,61,2,46,77,0
93,79,40,8,119,16,61,83,46,101,0
101,36,2,72,90,112,61,65,124,117,0
134,51,101,124,90,93,115,40,46,50,0
29,82,31,8,119,66,139,2,15,67,0
101,36,83,140,35,134,28,112,27,16,1
93,63,81,46,42,112,36,141,8,101,0
44,61,113,98,85,32,92,145,17,16,0
93,79,148,46,101,38,36,40,8,14,0
112,36,113,15,67,93,79,148,46,50,0
84,36,83,100,62,45,24,65,7,3,0
94,36,24,47,101,136,61,83,8,119,0
134,51,141,8,50,93,63,38,15,119,0
93,36,31,48,62,70,61,148,46,3,0
16,63,101,27,85,134,54,148,8,114,1
112,61,101,15,67,32,36,113,46,114,0
16,61,113,100,31,29,25,27,65,87,0
27,24,93,65,42,134,51,145,46,101,0
29,61,132,140,77,45,36,40,31,85,0
101,26,70,48,118,45,63,141,124,90,0
45,134,52,27,87,93,51,2,49,85,0
55,61,83,46,85,16,92,112,100,114,0
29,134,112,7,50,16,61,83,46,101,1
45,24,65,100,119,96,36,44,8,50,0
45,36,123,46,85,93,63,141,8,101,0
84,57,83,46,62,150,36,112,65,90,0
134,25,88,46,62,65,51,2,48,85,0
